datetime,open,high,low,close,volume
2012-04-11,332.5,336.7,330.55,334.2,4931066
2012-04-12,336.25,337.0,327.55,331.65,7495494
2012-04-13,334.05,335.0,327.8,329.0,5615604
2012-04-16,327.5,328.85,320.05,320.2,6003676
2012-04-17,321.0,321.95,316.5,319.75,5221120
2012-04-18,325.0,325.5,318.0,319.55,3745320
2012-04-19,320.0,327.55,319.75,324.5,6157538
2012-04-20,322.65,330.0,322.0,328.55,4176292
2012-04-23,327.3,327.7,315.0,315.15,5244820
2012-04-24,317.5,320.55,311.7,317.5,5573398
2012-04-25,319.2,326.75,316.35,325.9,7700620
2012-04-26,327.45,327.45,314.5,315.65,5175272
2012-04-27,313.25,316.45,310.55,316.45,5449894
2012-04-28,316.85,317.0,315.1,316.0,720138
2012-05-02,315.45,320.45,310.1,310.3,3734106
2012-05-03,312.05,315.4,308.1,309.7,3253398
2012-05-04,308.85,309.25,294.1,297.25,6033966
2012-05-05,295.45,297.5,293.0,295.05,916730
2012-05-07,290.05,293.25,282.55,289.4,2511130
2012-05-08,290.15,293.1,283.85,285.9,3054670
2012-05-10,284.4,297.3,284.4,294.0,5457730
2012-05-11,290.0,294.3,286.25,291.65,5159416
2012-05-12,290.9,295.0,289.5,294.45,1081892
2012-05-14,293.55,294.1,280.2,282.4,5388838
2012-05-15,283.9,285.9,280.2,283.6,6277126
2012-05-16,279.8,286.6,274.55,285.0,7885682
2012-05-17,285.55,288.7,268.55,272.5,9019314
2012-05-18,265.0,281.0,255.35,271.5,9537212
2012-05-21,272.75,280.8,270.0,279.55,4719422
2012-05-22,282.3,284.2,277.05,283.45,4997196
2012-05-23,279.1,279.55,266.6,266.7,5028228
2012-05-24,270.7,274.1,260.7,271.7,5920842
2012-05-25,270.85,277.3,268.25,270.5,5154426
2012-05-28,273.8,277.5,268.75,269.75,3649728
2012-05-29,272.5,279.15,270.65,278.15,4980282
2012-05-30,275.45,276.4,266.55,267.6,6455900
2012-05-31,267.5,271.5,260.5,265.35,6664558
2012-06-01,265.35,267.0,256.05,257.95,6361154
2012-06-04,255.5,262.85,251.65,260.6,4519334
2012-06-05,263.55,265.0,259.3,262.0,3833810
2012-06-06,265.0,267.85,261.55,267.0,5032622
2012-06-07,268.8,277.2,264.4,276.2,7330746
2012-06-08,272.55,274.7,269.8,274.35,6043336
2012-06-09,276.35,277.1,275.25,276.25,774936
2012-06-13,275.45,280.6,273.85,279.55,4803858
2012-06-14,278.3,278.85,276.0,278.0,2682056
2012-06-15,279.25,282.5,279.0,282.5,4953170
2012-06-18,287.5,290.75,285.5,287.95,4777926
2012-06-19,286.45,292.7,285.05,291.5,3925224
2012-06-20,292.0,292.5,283.5,284.4,3622678
2012-06-21,281.3,289.85,280.0,284.5,4066514
2012-06-22,279.95,280.65,275.85,278.75,4375136
2012-06-25,278.5,278.5,270.5,273.95,3709492
2012-06-26,273.95,278.4,273.5,275.25,4019096
2012-06-27,276.9,281.0,273.75,279.9,3239404
2012-06-28,280.4,282.0,268.55,268.55,4950636
2012-06-29,274.0,286.8,273.2,285.35,7066438
2012-07-02,284.75,296.6,283.5,293.8,7439318
2012-07-03,296.75,305.65,294.25,304.3,7160504
2012-07-04,303.5,304.45,299.75,301.3,5898528
2012-07-05,300.05,300.75,289.05,293.0,12628910
2012-07-06,290.15,293.4,279.1,281.25,9207994
2012-07-09,280.8,283.75,280.15,282.5,4049360
2012-07-10,281.25,290.9,280.05,285.65,7878152
2012-07-11,283.4,284.0,275.25,277.5,7552414
2012-07-12,278.45,278.55,269.0,271.25,6975518
2012-07-13,274.0,279.55,272.2,278.0,6868458
2012-07-16,278.2,281.5,275.25,278.0,5712198
2012-07-17,280.3,281.9,275.85,276.8,6337046
2012-07-18,277.7,278.85,273.05,275.95,4036700
2012-07-19,277.55,280.2,275.25,275.6,5541010
2012-07-20,274.95,275.5,269.0,269.75,5894534
2012-07-23,267.5,268.0,255.7,257.0,8982520
2012-07-24,258.5,259.6,252.65,256.05,7127670
2012-07-25,254.35,260.75,252.5,255.35,9654754
2012-07-26,256.9,260.3,254.5,259.25,7103064
2012-07-27,260.85,262.45,259.6,262.0,5890284
2012-07-30,264.0,269.95,263.05,268.05,6903548
2012-07-31,269.4,269.5,264.2,265.15,4819202
2012-08-01,264.85,270.3,263.35,268.75,4785438
2012-08-02,268.4,275.25,261.0,267.5,10021526
2012-08-03,266.0,275.2,265.9,274.5,6629720
2012-08-06,276.25,287.35,275.0,285.45,9844440
2012-08-07,284.5,291.35,279.6,290.5,9921424
2012-08-08,288.9,289.3,285.0,287.0,7390428
2012-08-09,288.3,291.0,282.6,287.2,6672384
2012-08-10,284.35,285.95,279.65,283.05,5205320
2012-08-13,284.05,289.4,281.85,285.05,6700606
2012-08-14,287.0,288.3,283.9,285.15,5790752
2012-08-15,283.75,284.05,278.0,281.15,6151456
2012-08-16,283.25,283.95,278.35,280.9,3719180
2012-08-17,282.55,283.25,279.1,279.3,3212364
2012-08-20,280.1,280.85,274.25,275.2,5061738
2012-08-21,275.9,281.2,275.6,281.05,4800532
2012-08-22,277.4,279.4,276.15,278.1,3971746
2012-08-23,280.7,285.0,277.8,278.6,6857462
2012-08-24,275.45,279.45,275.0,279.1,4462702
